Flow #1
Flow info:,682116.0,1412.0,0.0,267.3333333333333,465.14652972761934,20062.0,44587.89703085938,196574.0,0.0,653111.0,40819.4363117218,73612.23344111812,225509.0,22.0,652946.0,38408.587960635916,70065.58753209237,228407.0,0.0,0.0,24.922446052117404,1412.0,176.2,354.7423091236129,125842.10588235295,1.0,1.0,1.0,1.0,0.0,197.57142857142858,267.3333333333333,64240.0,65535.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #2
Flow info:,83.0,0.0,0.0,0.0,0.0,83.0,0.0,83.0,83.0,83.0,83.20808410644531,0.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,24036.126074498567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #3
Flow info:,271406.0,1412.0,0.0,578.375,692.720503831503,20877.0,66591.499544488,242243.0,0.0,19432.0,3886.41357421875,4191.924150766879,9810.0,260.0,264828.0,37832.566670009066,90250.20997961017,242243.0,0.0,0.0,22.10710680901192,1412.0,384.0,572.9533475437057,328275.53846153844,1.0,1.0,1.0,1.0,0.0,405.7142857142857,578.375,64240.0,65535.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #4
Flow info:,645.0,0.0,0.0,0.0,0.0,645.0,0.0,645.0,645.0,645.0,645.1606750488281,0.0,645.0,645.0,0.0,0.0,0.0,0.0,0.0,0.0,3100.0029563932003,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,512.0,-1.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #5
Flow info:,270946.0,1412.0,0.0,578.375,692.720503831503,20842.0,66366.08791406982,241551.0,0.0,23396.0,4679.203033447266,4555.068552558722,11631.0,719.0,264145.0,37735.01941135951,89949.04369722935,241551.0,0.0,0.0,22.14463187349859,1412.0,384.0,572.9533475437057,328275.53846153844,1.0,1.0,1.0,1.0,0.0,405.7142857142857,578.375,64240.0,65535.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #6
Flow info:,503.0,0.0,0.0,0.0,0.0,503.0,0.0,503.0,503.0,503.0,503.0632019042969,0.0,503.0,503.0,0.0,0.0,0.0,0.0,0.0,0.0,3975.6436018957347,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,512.0,-1.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #7
Flow info:,271007.0,1412.0,0.0,522.5555555555555,681.8762921364679,18067.0,62388.79986761106,243326.0,0.0,270919.0,45153.18075815836,100937.73679306335,251011.0,157.0,263368.0,32920.98641395569,85095.83477910122,243326.0,0.0,0.0,25.829585303241178,1412.0,340.875,554.7067543606562,307699.5833333333,1.0,1.0,1.0,1.0,0.0,362.375,522.5555555555555,64240.0,65535.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #8
Flow info:,718.0,0.0,0.0,0.0,0.0,718.0,0.0,718.0,718.0,718.0,717.8783416748047,0.0,718.0,718.0,0.0,0.0,0.0,0.0,0.0,0.0,2785.9873796081038,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,512.0,-1.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #9
Flow info:,269245.0,1412.0,0.0,522.5555555555555,681.8762921364679,19232.0,64177.52766345082,241991.0,0.0,20184.0,4036.8080139160156,4555.264076797038,9498.0,150.0,261622.0,32702.744007110596,84642.5121791158,241991.0,0.0,0.0,22.284524163726783,1412.0,363.6,566.4142603128158,320825.1142857143,1.0,1.0,1.0,1.0,0.0,385.2,522.5555555555555,64240.0,65535.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #10
